1 Chronicles,23,17,E hijo de Eliezer fue Rehabías el jefe. Y Eliezer no tuvo otros hijos; mas los hijos de Rehabías fueron muchos.
1 Chronicles,23,18,Hijo de Izhar fue Selomit el jefe.
1 Chronicles,23,19,"Los hijos de Hebrón: Jerías el jefe, Amarías el segundo, Jahaziel el tercero, y Jecamán el cuarto."
1 Chronicles,23,20,"Los hijos de Uziel: Micaía el jefe, e Isías el segundo."
1 Chronicles,23,21,Los hijos de Merari: Mahli y Musi. Los hijos de Mahli: Eleazar y Cis.
1 Chronicles,23,22,"Y murió Eleazar sin hijos; pero tuvo hijas, y los hijos de Cis, sus parientes, las tomaron por mujeres."
1 Chronicles,23,23,"Los hijos de Musi: Mahli, Edar y Jeremot, ellos tres."
1 Chronicles,23,24,"Estos son los hijos de Leví en las familias de sus padres, jefes de familias según el censo de ellos, contados por sus nombres, por sus cabezas, de veinte años arriba, los cuales trabajaban en el ministerio de la casa de Jehová."
1 Chronicles,23,25,"Porque David dijo: Jehová Dios de Israel ha dado paz a su pueblo Israel, y él habitará en Jerusalén para siempre."
1 Chronicles,23,26,Y también los levitas no tendrán que llevar más el tabernáculo y todos los utensilios para su ministerio.
1 Chronicles,23,27,"Así que, conforme a las postreras palabras de David, se hizo la cuenta de los hijos de Leví de veinte años arriba."
1 Chronicles,23,28,"Y estaban bajo las órdenes de los hijos de Aarón para ministrar en la casa de Jehová, en los atrios, en las cámaras, y en la purificación de toda cosa santificada, y en la demás obra del ministerio de la casa de Dios."
1 Chronicles,23,29,"Asimismo para los panes de la proposición, para la flor de harina para el sacrificio, para las hojuelas sin levadura, para lo preparado en sartén, para lo tostado, y para toda medida y cuenta;"
1 Chronicles,23,30,"y para asistir cada mañana todos los días a dar gracias y tributar alabanzas a Jehová, y asimismo por la tarde;"
1 Chronicles,23,31,"y para ofrecer todos los holocaustos a Jehová los días de reposo, lunas nuevas y fiestas solemnes, según su número y de acuerdo con su rito, continuamente delante de Jehová;"
1 Chronicles,23,32,"y para que tuviesen la guarda del tabernáculo de reunión, y la guarda del santuario, bajo las órdenes de los hijos de Aarón sus hermanos, en el ministerio de la casa de Jehová."
1 Chronicles,24,1,"También los hijos de Aarón fueron distribuidos en grupos. Los hijos de Aarón: Nadab, Abiú, Eleazar e Itamar."
1 Chronicles,24,2,"Mas como Nadab y Abiú murieron antes que su padre, y no tuvieron hijos, Eleazar e Itamar ejercieron el sacerdocio."
